initial_list,ticker,yahoo_symbol,theme,name,industry,style,current_weight,roe,profit_growth,revenue_growth,fcf_yield,dividend_yield,pe_percentile,pb_percentile,catalyst_score,risk_score,governance_score,thesis,catalysts,risks,invalidation,asset_type
long_term,600900,600900.SS,红利低波,长江电力,公用事业,红利防守,0.040,14,11,8,6.2,3.6,62,58,66,25,82,现金流稳定且分红确定性高，适合做A股底仓防守资产。,来水改善、电价机制、分红预案,水电来水偏弱或政策电价调整,股息率显著下滑或来水连续低于预期
long_term,603605,603605.SS,消费,珀莱雅,美容护理,质量成长,0.000,23,18,20,4.4,1.8,48,52,70,42,78,国货美妆龙头，品牌矩阵和线上运营能力较强，适合长期跟踪消费复苏与新品周期。,大单品放量、新品牌孵化、渠道效率改善,消费景气弱、营销费用率上行、竞争加剧,收入增速和利润率连续低于预期
long_term,516010,,游戏,游戏ETF国泰,ETF,主题ETF,0.000,0,0,0,0,0,50,50,68,70,70,游戏与内容板块弹性较高，适合作为传媒线上娱乐风险偏好的长期观察仓位。,版号供给、AI内容生产、游戏新品周期、传媒情绪修复,主题波动大、监管政策变化、单一赛道拥挤,游戏板块成交热度和趋势同时转弱,etf
long_term,159949,,创业板50,创业板50ETF华安,ETF,成长宽基,0.000,0,0,0,0,0,50,50,66,62,72,创业板核心成长宽基，适合跟踪A股成长风险偏好和高弹性资产修复。,成长风格回暖、流动性改善、创业板权重股趋势修复,高波动、成长风格承压、权重股拖累,创业板50跌破中期趋势且成交持续萎缩,etf
long_term,159740,,恒生科技,恒生科技ETF大成,ETF,港股科技ETF,0.000,0,0,0,0,0,50,50,70,75,70,港股科技龙头弹性高，适合长期观察恒生科技风险偏好、南向资金和中概互联网估值修复。,南向资金流入、互联网平台盈利修复、港股流动性改善、美元利率下行,港股波动大、汇率和海外流动性扰动、平台监管或地缘风险,恒生科技指数跌破中期趋势且南向资金持续转弱,etf
candidate,600036,600036.SS,银行,招商银行,银行,低估值修复,0.035,16,3,1,5.0,5.4,28,22,58,45,78,零售银行质量较优，若地产和信用风险边际缓和，估值有修复空间。,息差企稳、资产质量披露、分红,净息差继续收缩或不良暴露扩大,不良率和拨备趋势连续恶化
candidate,300750,300750.SZ,新能源车,宁德时代,电力设备,质量成长,0.030,22,18,20,3.6,1.3,48,46,78,55,76,全球动力电池龙头，盈利韧性和技术迭代仍是核心优势。,新车型放量、储能订单、出海进展,价格战、海外贸易壁垒、资本开支压力,毛利率跌破同业高质量区间且订单验证转弱
candidate,600519,600519.SS,酒,贵州茅台,食品饮料,质量现金流,0.045,32,14,15,5.8,2.8,55,60,62,35,86,品牌和渠道壁垒极强，现金流质量高，适合观察估值回落后的核心配置。,批价稳定、分红和回购、渠道改革,消费景气放缓、批价下行,批价持续下行并传导到收入/利润预期
candidate,002371,002371.SZ,半导体,北方华创,半导体,国产替代,0.020,20,30,32,1.8,0.4,72,78,82,62,70,半导体设备国产替代主线明确，但估值和订单兑现都需要严格跟踪。,订单交付、先进制程扩产、政策支持,估值偏高、周期波动、客户集中,订单增速明显放缓或毛利率持续承压
candidate,688111,688111.SS,计算机,金山办公,计算机,AI应用,0.015,15,18,17,4.5,0.8,70,75,76,58,72,办公软件订阅化和AI功能变现具备长期空间，短期看付费转化。,AI会员转化、政企订阅、信创订单,估值较高、AI商业化不及预期,付费用户增长和ARPU连续低于预期
candidate,300760,300760.SZ,医疗器械,迈瑞医疗,医药生物,质量成长,0.030,24,12,13,5.2,2.1,42,48,61,38,80,医疗器械龙头研发和渠道优势稳定，适合在政策扰动后择机配置。,海外收入、设备更新、集采落地,集采降价、医院资本开支波动,核心产品线增速明显失速
candidate,601899,601899.SS,有色金属,紫金矿业,有色金属,资源周期,0.025,19,24,18,4.0,2.2,40,38,74,54,73,铜金资源储备和产量增长清晰，受益于金价和铜供需改善。,金铜价格、矿山投产、并购整合,商品价格下跌、海外运营风险,铜金价格趋势转弱且产量目标下修
